vendor,product,version,date,url
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.17.22.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.17.43.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.21.01.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,3/31/10,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.24.03.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,5/3/10,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.24.04.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,7/26/10,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.24.07.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,8/20/10,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.24.09.xx_BETA.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.17.06.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.16.06.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.08.04.06.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.08.09.06.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.09.03.06.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.09.25.06.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.09.10.06.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.09.11.06.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.09.19.06.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.09.32.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.09.49.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.09.55.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.15.15.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.09.53.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.13.02.xx.zip
conceptronic,C08-128_CFULLHDMA,unknown,12/21/09,http://download.conceptronic.net/firmware/C08-128_CFULLHDMA_Firmware_Update_v1.12.04.xx.zip
