vendor,product,version,date,url
ubiquiti,af24,unknown,9/18/19,https://www.ui.com/downloads/firmwares/airfiber/v4.0.5/AF24.v4.0.5.bin
ubiquiti,af24,unknown,7/18/19,https://www.ui.com/downloads/firmwares/airfiber/v4.0.4/AF24.v4.0.4.bin
ubiquiti,af24,unknown,3/24/20,https://www.ui.com/downloads/firmwares/airfiber/v4.1.0/AF24.v4.1.0.bin
ubiquiti,af24,unknown,3/20/17,https://www.ui.com/downloads/firmwares/airfiber/v3.3.1/AF24.v3.3.1.bin
ubiquiti,af24,unknown,1/5/15,https://www.ui.com/downloads/firmwares/airfiber/v2.0.1/AF24.v2.0.1.25382.150105.1316-nobootrom.bin
ubiquiti,af24,unknown,3/28/14,https://www.ui.com/downloads/firmwares/airfiber/v2.0/AF.v2.0.21665.140328.1407-nobootrom
others,af24,unknown,4/7/17,https://www.ui.com/downloads/firmwares/airfiber/v3.2.3/AF24.v3.2.3.bin
others,af24,unknown,1/29/18,https://www.ui.com/downloads/firmwares/airfiber/v4.0.3/AF24.v4.0.3.bin
others,af24,unknown,11/30/15,https://www.ui.com/downloads/firmwares/airfiber/v3.2/AF24.v3.2.bin
others,af24,unknown,3/17/17,https://www.ui.com/downloads/firmwares/airfiber/v3.2.2/AF24.v3.2.2.bin
