vendor,product,version,date,url
ubiquiti,erpoe5,5371034,2/3/21,https://www.ui.com/downloads/firmwares/edgemax/v2.0.9-hotfix.1/ER-e100.v2.0.9-hotfix.1.5371034.tar
ubiquiti,erpoe5,5346345,11/19/20,https://www.ui.com/downloads/firmwares/edgemax/v2.0.9/ER-e100.v2.0.9.5346345.tar
ubiquiti,erpoe5,5278088,3/10/20,https://www.ui.com/downloads/firmwares/edgemax/v2.0.8-hotfix.1/ER-e100.v2.0.8-hotfix.1.5278088.tar
ubiquiti,erpoe5,5274249,3/11/20,https://www.ui.com/downloads/firmwares/edgemax/v1.10.11/ER-e100.v1.10.11.5274249.tar
ubiquiti,erpoe5,5247496,12/5/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.8/ER-e100.v2.0.8.5247496.tar
ubiquiti,erpoe5,5208553,7/17/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.x/ER-e100.v2.0.6.5208553.tar
ubiquiti,erpoe5,5210345,7/16/19,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.10.5210345.tar
ubiquiti,erpoe5,unknown,11/5/14,https://www.ui.com/downloads/firmwares/edgemax/v1.6.0/ER-e100.v1.6.0.4716006.tar
ubiquiti,erpoe5,unknown,2/26/16,https://www.ui.com/downloads/firmwares/edgemax/v1.8.0/ER-e100.v1.8.0.4853089.tar
ubiquiti,erpoe5,32774,10/12/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.7/ER-e100.v1.9.7+hotfix.4.5024004.tar
ubiquiti,erpoe5,5402463,6/14/21,https://www.ui.com/downloads/firmwares/edgemax/v2.0.9-hotfix.2/ER-e100.v2.0.9-hotfix.2.5402463.tar
ubiquiti,erpoe5,31939,6/13/16,https://www.ui.com/downloads/firmwares/edgemax/v1.8.5/ER-e100.v1.8.5.4884695.tar
ubiquiti,erpoe5,31612,6/25/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.x/ER-e100.v2.0.4.5199165.tar
ubiquiti,erpoe5,31626,8/9/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.7/ER-e100.v1.9.7+hotfix.1.5005851.tar
ubiquiti,erpoe5,31612,3/21/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.1.5067571.tar
ubiquiti,erpoe5,31776,8/22/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.7/ER-e100.v1.9.7+hotfix.2.5010182.tar
ubiquiti,erpoe5,32918,11/29/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.8.5142440.tar
ubiquiti,erpoe5,32918,12/22/16,https://www.ui.com/downloads/firmwares/edgemax/v1.9.1/ER-e100.v1.9.1.4939093.tar
ubiquiti,erpoe5,31296,4/28/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.1.1/ER-e100.v1.9.1.1.4977347.tar
ubiquiti,erpoe5,31626,7/24/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.7/ER-e100.v1.9.7.5001798.tar
ubiquiti,erpoe5,31612,2/15/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.0.5056246.tar
ubiquiti,erpoe5,31776,9/6/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.7/ER-e100.v1.9.7+hotfix.3.5013619.tar
ubiquiti,erpoe5,31612,10/14/13,https://www.ui.com/downloads/firmwares/edgemax/v1.3.0/ER-e100.v1.3.0.4605130.tar
ubiquiti,erpoe5,31601,1/20/14,https://www.ui.com/downloads/firmwares/edgemax/v1.4.0/ER-e100.v1.4.0.4632200.tar
ubiquiti,erpoe5,31825,6/20/14,https://www.ui.com/downloads/firmwares/edgemax/v1.5.0/ER-e100.v1.5.0.4677648.tar
ubiquiti,erpoe5,31939,5/14/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.3.5082526.tar
ubiquiti,erpoe5,32113,6/28/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.5.5098915.tar
ubiquiti,erpoe5,31631,7/9/13,https://www.ui.com/downloads/firmwares/edgemax/v1.2.0/ER-e100.v1.2.0.4574253.tar
ubiquiti,erpoe5,31626,3/10/14,https://www.ui.com/downloads/firmwares/edgemax/v1.4.1/ER-e100.v1.4.1.4648309.tar
ubiquiti,erpoe5,32949,10/3/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.7.5127970.tar
ubiquiti,erpoe5,33003,8/28/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.6.5112654.tar
ubiquiti,erpoe5,32774,3/4/19,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.9.5166937.tar
ubiquiti,erpoe5,30572,3/29/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.x/ER-e100.v2.0.1.5174691.tar
ubiquiti,erpoe5,31296,5/31/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.x/ER-e100.v2.0.3.5189348.tar
ubiquiti,erpoe5,32949,8/8/16,https://www.ui.com/downloads/firmwares/edgemax/v1.9.0/ER-e100.v1.9.0.4901118.tar
others,erpoe5,5056246,2/15/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.0.5056246.tar
others,erpoe5,4648309,3/10/14,https://www.ui.com/downloads/firmwares/edgemax/v1.4.1/ER-e100.v1.4.1.4648309.tar
others,erpoe5,4574253,7/9/13,https://www.ui.com/downloads/firmwares/edgemax/v1.2.0/ER-e100.v1.2.0.4574253.tar
others,erpoe5,5082526,5/14/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.3.5082526.tar
others,erpoe5,5098915,6/28/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.5.5098915.tar
others,erpoe5,5098915,8/28/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e100.v1.10.6.5112654.tar
