vendor,product,version,date,url
ubiquiti,erpro8,5402463,6/14/21,https://www.ui.com/downloads/firmwares/edgemax/v2.0.9-hotfix.2/ER-e200.v2.0.9-hotfix.2.5402463.tar
ubiquiti,erpro8,5346345,11/19/20,https://www.ui.com/downloads/firmwares/edgemax/v2.0.9/ER-e200.v2.0.9.5346345.tar
ubiquiti,erpro8,5274249,3/11/20,https://www.ui.com/downloads/firmwares/edgemax/v1.10.11/ER-e200.v1.10.11.5274249.tar
ubiquiti,erpro8,5278088,3/10/20,https://www.ui.com/downloads/firmwares/edgemax/v2.0.8-hotfix.1/ER-e200.v2.0.8-hotfix.1.5278088.tar
ubiquiti,erpro8,5247496,12/5/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.8/ER-e200.v2.0.8.5247496.tar
ubiquiti,erpro8,5208554,7/17/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.x/ER-e200.v2.0.6.5208554.tar
ubiquiti,erpro8,30572,12/2/13,https://www.ui.com/downloads/firmwares/edgemax/v1.3.0/ER-e200.v1.3.0.4605996.tar
ubiquiti,erpro8,unknown,11/5/14,https://www.ui.com/downloads/firmwares/edgemax/v1.6.0/ER-e200.v1.6.0.4716006.tar
ubiquiti,erpro8,5210345,7/16/19,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e200.v1.10.10.5210345.tar
ubiquiti,erpro8,unknown,6/29/15,https://www.ui.com/downloads/firmwares/edgemax/v1.7.0/ER-e200.v1.7.0.4783374.tar
ubiquiti,erpro8,unknown,10/12/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.7/ER-e200.v1.9.7+hotfix.4.5024021.tar
ubiquiti,erpro8,31825,8/22/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.7/ER-e200.v1.9.7+hotfix.2.5010186.tar
ubiquiti,erpro8,31612,6/26/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.x/ER-e200.v2.0.4.5199165.tar
ubiquiti,erpro8,31601,3/21/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e200.v1.10.1.5067575.tar
ubiquiti,erpro8,31296,8/9/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.7/ER-e200.v1.9.7+hotfix.1.5005855.tar
ubiquiti,erpro8,31626,3/29/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.x/ER-e200.v2.0.1.5174691.tar
ubiquiti,erpro8,31825,11/29/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e200.v1.10.8.5142441.tar
ubiquiti,erpro8,31601,3/4/19,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e200.v1.10.9.5166938.tar
ubiquiti,erpro8,31612,10/3/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e200.v1.10.7.5127970.tar
ubiquiti,erpro8,31612,8/28/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e200.v1.10.6.5112659.tar
ubiquiti,erpro8,31776,6/28/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e200.v1.10.5.5098915.tar
ubiquiti,erpro8,31612,5/14/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e200.v1.10.3.5082543.tar
ubiquiti,erpro8,31626,3/10/14,https://www.ui.com/downloads/firmwares/edgemax/v1.4.1/ER-e200.v1.4.1.4648311.tar
ubiquiti,erpro8,31296,1/20/14,https://www.ui.com/downloads/firmwares/edgemax/v1.4.0/ER-e200.v1.4.0.4632202.tar
ubiquiti,erpro8,32113,5/31/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.x/ER-e200.v2.0.3.5189348.tar
ubiquiti,erpro8,unknown,12/22/16,https://www.ui.com/downloads/firmwares/edgemax/v1.9.1/ER-e200.v1.9.1.4939098.tar
ubiquiti,erpro8,unknown,2/26/16,https://www.ui.com/downloads/firmwares/edgemax/v1.8.0/ER-e200.v1.8.0.4853089.tar
ubiquiti,erpro8,unknown,8/8/16,https://www.ui.com/downloads/firmwares/edgemax/v1.9.0/ER-e200.v1.9.0.4901118.tar
ubiquiti,erpro8,unknown,4/28/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.1.1/ER-e200.v1.9.1.1.4977353.tar
ubiquiti,erpro8,unknown,2/15/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e200.v1.10.0.5056246.tar
ubiquiti,erpro8,33003,7/24/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.7/ER-e200.v1.9.7.5001803.tar
ubiquiti,erpro8,32774,6/20/14,https://www.ui.com/downloads/firmwares/edgemax/v1.5.0/ER-e200.v1.5.0.4677648.tar
ubiquiti,erpro8,32949,9/6/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.7/ER-e200.v1.9.7+hotfix.3.5013624.tar
others,erpro8,5005855,8/9/17,https://www.ui.com/downloads/firmwares/edgemax/v1.9.7/ER-e200.v1.9.7+hotfix.1.5005855.tar
others,erpro8,4939098,12/22/16,https://www.ui.com/downloads/firmwares/edgemax/v1.9.1/ER-e200.v1.9.1.4939098.tar
others,erpro8,4574253,6/20/14,https://www.ui.com/downloads/firmwares/edgemax/v1.5.0/ER-e200.v1.5.0.4677648.tar
others,erpro8,4632202,1/20/14,https://www.ui.com/downloads/firmwares/edgemax/v1.4.0/ER-e200.v1.4.0.4632202.tar
others,erpro8,5199165,6/26/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.x/ER-e200.v2.0.4.5199165.tar
others,erpro8,5112659,8/28/18,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e200.v1.10.6.5112659.tar
others,erpro8,5189348,5/31/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.x/ER-e200.v2.0.3.5189348.tar
others,erpro8,5166938,3/4/19,https://www.ui.com/downloads/firmwares/edgemax/v1.10.x/ER-e200.v1.10.9.5166938.tar
others,erpro8,5174691,3/29/19,https://www.ui.com/downloads/firmwares/edgemax/v2.0.x/ER-e200.v2.0.1.5174691.tar
