vendor,product,version,date,url
ubiquiti,uf-loco,unknown,6/3/21,https://www.ui.com/downloads/firmwares/ufiber/UF-ONU.UF-LOCO.v4.3.1.2036-c1f.210421.0703.img
ubiquiti,uf-loco,unknown,7/23/19,https://www.ui.com/downloads/firmwares/ufiber/UF-ONU.UF-LOCO.v4.0.0.1324-591.190621.0744.img
ubiquiti,uf-loco,unknown,7/26/19,https://www.ui.com/downloads/firmwares/ufiber/UF-ONU.UF-LOCO.v4.0.2.1358-b31.190723.1457.img
ubiquiti,uf-loco,unknown,8/16/19,https://www.ui.com/downloads/firmwares/ufiber/UF-ONU.UF-LOCO.v4.0.3.1389-1f9.190814.1543.img
ubiquiti,uf-loco,unknown,10/4/19,https://www.ui.com/downloads/firmwares/ufiber/UF-ONU.UF-LOCO.v4.0.5.1444-6d1.190925.1029.img
ubiquiti,uf-loco,unknown,6/16/20,https://www.ui.com/downloads/firmwares/ufiber/UF-ONU.UF-LOCO.v4.2.1.1710-085.200609.0847.img
ubiquiti,uf-loco,unknown,11/26/19,https://www.ui.com/downloads/firmwares/ufiber/UF-ONU.UF-LOCO.v4.1.0.1500-538.191119.1346.img
ubiquiti,uf-loco,unknown,1/7/21,https://www.ui.com/downloads/firmwares/ufiber/UF-ONU.UF-LOCO.v4.3.0.1925-c60.210105.1116.img
ubiquiti,uf-loco,unknown,5/18/20,https://www.ui.com/downloads/firmwares/ufiber/UF-ONU.UF-LOCO.v4.2.0.1679-2c1.200512.1457.img
ubiquiti,uf-loco,unknown,2/12/19,https://www.ui.com/downloads/firmwares/ufiber/UF-ONU.UF-LOCO.v3.1.2.1135-4ce.190205.1447.img
ubiquiti,uf-loco,unknown,8/21/18,https://www.ui.com/downloads/firmwares/ufiber/UF_LOCO.v3.0.0.180813.1303.bin
ubiquiti,uf-loco,unknown,1/7/19,https://www.ui.com/downloads/firmwares/ufiber/UF-ONU.UF-LOCO.v3.1.0.1061-a7a.190102.1354.img
ubiquiti,uf-loco,unknown,4/10/18,https://www.ui.com/downloads//firmwares/ufiber/UF_LOCO.v2.0.1.180205.1205.bin
ubiquiti,uf-loco,unknown,5/10/18,https://www.ui.com/downloads/firmwares/ufiber/UF_LOCO.v2.1.1.180503.0906.bin
