vendor,product,version,date,url
ubiquiti,uf-olt,unknown,7/26/19,https://www.ui.com/downloads/firmwares/ufiber/UF-OLT.v4.0.2.2277.190725.1308.tar
ubiquiti,uf-olt,unknown,10/4/19,https://www.ui.com/downloads/firmwares/ufiber/UF-OLT.v4.0.5.2480.191001.1021.tar
ubiquiti,uf-olt,unknown,8/16/19,https://www.ui.com/downloads/firmwares/ufiber/UF-OLT.v4.0.3.2338.190815.0610.tar
ubiquiti,uf-olt,unknown,11/26/19,https://www.ui.com/downloads/firmwares/ufiber/OLT.recovery.v4.1.0.2648.191120.1333.16de5fdde.img
ubiquiti,uf-olt,unknown,11/26/19,https://www.ui.com/downloads/firmwares/ufiber/UF-OLT.v4.1.0.2648.191120.1333.tar
ubiquiti,uf-olt,unknown,1/9/20,https://www.ui.com/downloads/firmwares/ufiber/UF-OLT.v4.1.1.2782.200103.1215.tar
ubiquiti,uf-olt,unknown,5/18/20,https://www.ui.com/downloads/firmwares/ufiber/UF-OLT.v4.2.0.3203.200514.0855.tar
ubiquiti,uf-olt,unknown,6/16/20,https://www.ui.com/downloads/firmwares/ufiber/UF-OLT.v4.2.1.3271.200615.1255.tar
ubiquiti,uf-olt,unknown,6/3/21,https://www.ui.com/downloads/firmwares/ufiber/UF-OLT.v4.3.1.3909.210421.0814.tar
ubiquiti,uf-olt,unknown,2/12/18,https://www.ui.com/downloads/firmwares/UFiber/UF-OLT/v1.1.0/OLT.recovery.1.1.0.5055308.180122.0341.ed83a5d40.img
ubiquiti,uf-olt,unknown,1/7/21,https://www.ui.com/downloads/firmwares/ufiber/UF-OLT.v4.3.0.3689.210105.1430.tar
ubiquiti,uf-olt,unknown,1/10/18,https://www.ui.com/downloads/firmwares/UFiber/UF-OLT/v1.0.8/upgrade-1.0.8.5051667.180109.1216.tar
ubiquiti,uf-olt,unknown,4/4/18,https://www.ui.com/downloads/firmwares/UFiber/UF-OLT/v1.1.3/upgrade-1.1.3.5072694.180323.1234.tar
ubiquiti,uf-olt,unknown,2/12/18,https://www.ui.com/downloads/firmwares/UFiber/UF-OLT/v1.1.0/upgrade-1.1.0.5055308.180122.0341.tar
ubiquiti,uf-olt,unknown,5/10/18,https://www.ui.com/downloads/firmwares/ufiber/upgrade-1.2.1.5086186.180509.0850.tar
ubiquiti,uf-olt,unknown,12/4/17,https://www.ui.com/downloads/firmwares/UFiber/UF-OLT/v1.0.7/upgrade-1.0.7.5040178.171130.1454.tar
others,uf-olt,unknown,1/7/19,https://www.ui.com/downloads/firmwares/ufiber/UF-OLT.v3.1.0.1579.190104.0734.tar
others,uf-olt,unknown,6/21/18,https://www.ui.com/downloads/firmwares/ufiber/upgrade-1.2.3.5093996.180605.1140.tar
